,Station_ID,Longitude,Latitude,Elevation
0,QB7-zmun5zXhnNnGXs-LDA,-122.26985,37.80905,7.224931717
1,3k0Nz03m8rKDiGHtMevBFQ,-121.90083,37.33297,25.688417435
2,xfGxyVapMNlAlqQULvyG5Q,-122.4223022,37.7440758,29.704711914
3,humRe1SGupNdDJUxEdDmMg,-122.4215622,37.759861,16.017795563
4,ocbfMG-H8Ov8v5nz1AjlZg,-122.02429,36.97017,4.286106110
5,YG3xWeJ3f350zSNZKs1p5A,-122.3918158,37.7323264,27.794824600
6,8ype6-KH6iSNQijrRSgRmg,-121.89020362795,37.3353183364266,26.772148132
7,eIw3yewnX0c8-3V5pZo2bQ,-122.2629276,37.8359007,34.880264282
8,PJOixdLWFkWNWKCAQX3jsQ,-122.40956,37.78349,12.758251190
9,QNMPHDfcS64h-mi5Bchdig,-122.2525794,37.8260865,32.031852722
10,yfe1OCxNElTa372DL5reYA,-122.422114089131,37.7650673678138,14.613338470
11,zJtun46FWqG2k6cwPEFpxw,-122.24743,37.81255,3.755393982
12,nVH9Maz5GAdNnLsg4gomYg,-122.2701925878,37.808314554612,8.728669167
13,-nJ-xiA6A6IoWoTpYvI5Iw,-122.393321,37.795578,1.674220800
14,fb49tiO6Ax-D3E-mKJrH_w,-122.4093534,37.7843487,12.688190460
15,Mw1Ulls_bRgwEX2LsPiWVw,-121.9127265,37.3323869,29.592134476
16,hrof-6ketTqVso0GjFBIXg,-122.41007,37.77529,7.904993534
17,Iq004XCoolBuFt0PjAUTDw,-122.411895751953,37.7697792053223,6.286015511
18,GrVZzAPrdMji66PfJ0fRXg,-122.4336963,37.76085516290604,32.266315460
19,-9g5fZ0w0w3teWOO69nqmw,-122.39671881226874,37.78577571880986,15.349366188
20,YH1kP9XEDlIzBQjMMm7ZgA,-122.40539157055234,37.79021099910439,21.390382767
21,WKBAkKgeqJ9aCoexvpNUeA,-122.45935,37.78093,62.113887787
22,7jbpn3CYvByuMXwKqxDrgg,-122.234277315438,37.7848728792837,9.868463516
23,XR4giIOCQ5D-mxtOPUUY_Q,-122.4229473880592,37.80598165701761,17.215703964
24,6d13tYcHtKQ1yOdgNEwdJg,-121.875396728516,37.3337173461914,28.274158478
25,3aJXZnmMAA_TQq4BO9Hh-w,-122.4337082,37.8050385,5.183238029
26,t-xuA4yR02gud00gTS2iyw,-122.25906,37.86672,75.783233643
27,hcGPjfWl8RnmxewFaGemdQ,-122.41946,37.74681,21.432056427
28,b-HDJNB_E0dYzAxJmO64PA,-122.4227401,37.7719945230953,16.653688431
29,Bs-uBmaaGhr3XF6uFXfAFw,-122.40368,37.79392,8.069417000
30,RgCiU4RSDrae2cPf8BIpKg,-122.269485473633,37.8694458007812,53.897251129
31,9eaofVZoWFfeDIcPQr872Q,-122.425882,37.776362,23.422113419
32,fK6ZCDLTFtPV9HT4oAo5-w,-122.392534017563,37.795398235987,0.050000001
